FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005, P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029, P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065, P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018, P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030, P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066, P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003
PLST,MO,0,2,1,4775612,4513555,3772337,518166,23737,105360,6619,87336,262057,250163,26117,96371,17906,1856,94232,5299,1315,238,3700,231,72,1220,927,515,164,10722,4119,570,115,1087,775,142,2373,647,338,70,100,46,169,55,40,8,15,15,1,37,948,245,46,450,34,37,7,43,37,0,20,11,8,4,2,4,202,101,81,6,6,5,3,22,22,4775612,197173,4578439,4382247,3723642,514169,18642,104558,6340,14896,196192,188314,25271,93633,17503,1777,39822,5065,1259,223,2141,209,57,135,865,306,48,7207,3751,535,88,565,709,124,339,611,125,19,90,37,92,46,32,7,8,3,1,25,538,212,37,155,28,29,2,40,9,0,3,10,7,4,0,2,123,73,43,3,0,1,3,10,10,2786621,2479146,307475
PLST,MT,0,2,1,850123,804373,737204,4039,44531,6828,709,11062,45750,43817,1992,19438,3464,481,17099,328,102,26,149,118,44,252,237,65,22,1754,475,72,17,90,247,56,463,235,46,19,1,0,3,5,1,1,15,4,1,3,143,15,12,44,8,2,2,23,6,2,2,6,5,4,7,5,25,9,10,3,0,0,3,11,11,850123,29908,820215,784685,727553,3781,42717,6666,642,3326,35530,34314,1890,18531,3345,467,9138,310,98,19,67,102,35,53,215,38,6,1121,407,67,14,44,208,46,80,216,9,10,1,0,1,4,0,0,9,2,0,3,76,15,12,2,8,0,0,17,3,0,2,5,1,4,7,0,17,9,4,3,0,0,1,2,2,514803,447812,66991
PLST,NE,0,2,1,1476127,1391504,1199242,67094,15096,39166,1093,69813,84623,80820,7053,15485,6086,458,47334,1115,308,69,984,99,19,1110,377,249,74,3385,1024,188,28,325,158,18,1093,273,117,23,22,5,53,29,0,6,1,5,4,13,341,60,15,149,22,16,0,19,38,0,8,2,0,1,7,4,66,31,18,0,8,0,9,11,11,1476127,145297,1330830,1289505,1169255,66088,10112,38794,942,4314,41325,39407,6699,14240,5904,437,9754,1031,304,59,387,69,13,38,360,99,13,1771,883,166,28,98,135,15,79,245,29,5,20,5,19,27,0,0,1,0,4,12,117,38,12,35,7,2,0,16,4,0,0,0,0,1,2,0,23,13,0,0,8,0,2,7,7,844278,773312,70966
PLST,NV,0,2,1,2413326,2126547,1311982,226025,33407,228281,18266,308586,286779,268377,16648,27516,25377,3676,170476,3106,3037,684,5817,496,169,3566,5770,1560,479,16540,2702,983,197,1471,908,223,3945,3840,1034,155,167,45,214,238,102,32,72,47,8,157,1605,284,65,501,139,72,11,240,91,16,135,23,16,6,6,0,223,97,88,6,11,18,3,34,34,2413326,609396,1803930,1697260,1205651,219333,18317,224400,17118,12441,106670,96689,15274,23436,23845,3359,15848,2790,2827,626,2223,351,109,129,5327,438,107,9034,2248,820,184,552,710,173,179,3393,136,17,144,38,93,198,49,14,47,2,0,37,808,213,54,155,105,23,11,177,2,5,34,22,4,0,3,0,127,71,37,1,8,9,1,12,12,1281018,1177649,103369
PLST,NH,0,2,1,1120680,1069090,1005446,14841,2459,28172,351,17821,51590,49357,3846,15008,4531,330,23453,249,114,49,1211,45,7,152,153,140,69,1984,584,200,11,376,116,16,373,113,93,17,1,19,26,13,12,4,0,5,0,5,205,34,2,128,1,3,1,11,17,2,0,3,1,1,0,1,40,19,8,6,0,2,5,4,4,1120680,39800,1080880,1044274,995751,13858,1930,27989,303,4443,36606,35355,3567,14633,4440,311,11445,197,109,44,289,36,7,21,152,92,12,1165,470,194,11,124,108,16,58,108,31,11,1,13,0,9,4,4,0,0,0,3,68,18,2,22,1,0,0,10,8,2,0,3,0,1,0,1,14,3,0,6,0,2,3,4,4,638795,556357,82438
PLST,NJ,0,2,1,7281310,6653993,4167391,936123,37174,745070,2716,765519,627317,596186,36508,30734,30225,1172,414372,9465,4392,885,47940,1287,120,10473,1759,4572,2282,26049,6649,1373,116,7777,482,70,5245,546,1528,172,245,35,928,102,423,59,19,124,54,102,4657,532,97,3273,44,336,37,21,137,19,71,18,21,8,30,13,368,125,190,19,11,19,4,57,57,7281310,1435999,5845311,5661804,3966396,896947,8209,740609,1586,48057,183507,173220,30581,27198,29022,1071,52521,8107,4116,821,13796,1125,50,370,1662,2454,326,9129,4616,1131,98,1049,382,54,168,506,303,24,177,28,136,84,263,30,10,28,7,35,980,397,69,240,35,130,14,16,15,5,23,11,11,0,10,4,155,93,51,1,3,7,0,23,23,3761229,3426102,335127
PLST,NM,0,2,1,1638989,1333163,876177,34444,153063,30378,1610,237491,305826,295399,5404,21429,6684,714,251684,1363,389,78,1724,365,141,3915,543,736,230,9543,1118,200,24,794,339,71,5654,353,588,82,32,14,93,18,29,6,19,41,25,43,740,103,15,363,19,33,8,47,77,14,27,9,5,5,0,15,123,24,70,14,2,12,1,21,21,1638989,726764,912225,870313,664062,30778,137360,28989,1199,7925,41912,39721,4599,15892,5909,621,9650,1114,351,73,367,264,115,171,461,100,34,1956,742,174,20,116,211,60,137,290,54,13,27,14,18,15,10,4,16,3,7,25,190,59,8,39,18,13,5,24,1,1,6,4,4,4,0,4,33,3,19,5,0,6,0,12,12,940859,829514,111345
PLST,NY,0,2,1,16088135,14819702,9153551,2326865,113432,1562776,8308,1654770,1268433,1189434,94493,85483,82730,2732,640740,24638,14624,2580,178259,4496,435,25186,5314,21330,6394,65664,16139,3375,291,20658,1170,176,11536,1467,3370,330,743,127,2825,327,1734,307,105,437,133,414,12006,1364,150,8576,135,842,50,93,247,25,143,64,139,24,86,68,1181,414,602,87,21,20,37,148,148,16088135,2925886,13162249,12674605,8761517,2176551,42624,1551634,4766,137513,487644,461487,78498,77115,80054,2457,99697,20320,13672,2342,58180,4060,253,1976,4990,16162,1711,23129,9930,2800,249,2761,943,133,426,1341,1054,71,583,98,568,256,1216,115,75,248,37,225,2520,970,97,575,97,378,14,70,46,3,69,36,72,15,46,32,459,230,178,10,15,6,20,49,49,8488066,7715172,772894
PLST,NC,0,2,1,8155099,7708023,5300137,1639043,96726,259521,6220,406376,447076,420656,49353,93911,29258,2097,200495,15872,3578,846,15807,588,174,4959,1492,1631,595,23160,9529,1283,185,3255,1053,155,4397,988,757,90,279,82,606,185,116,51,49,18,13,69,2797,588,98,1560,63,143,23,83,107,15,44,24,6,4,20,19,394,204,136,20,19,10,5,69,69,8155099,724311,7430788,7180396,5189633,1620569,77335,257602,5144,30113,250392,234590,46923,90234,28373,1994,37857,15070,3430,779,6585,502,131,341,1385,902,84,14322,8459,1153,164,1089,944,149,359,902,225,19,241,68,218,144,66,35,41,0,0,46,1206,460,76,375,61,76,13,66,16,6,21,16,4,0,6,10,233,141,66,3,15,5,3,41,41,4708710,4160856,547854
PLST,ND,0,2,1,596093,571597,509175,17982,25005,10366,682,8387,24496,23458,2182,8799,2053,216,9033,260,154,33,261,55,25,148,145,41,53,897,277,46,13,84,71,21,195,79,36,2,4,7,13,13,5,1,5,9,0,16,106,17,3,43,0,0,0,16,11,0,0,3,10,0,1,2,30,13,10,1,3,3,0,5,5,596093,21603,574490,557059,503153,17608,24119,10252,643,1284,17431,16839,2082,8477,1998,193,3285,236,137,25,133,44,25,27,141,16,20,536,233,46,13,24,57,16,17,79,7,2,4,1,3,13,0,0,5,0,0,16,43,14,3,6,0,0,0,12,1,0,0,2,5,0,0,0,13,6,2,1,2,2,0,0,0,370642,322553,48089
