,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,Region
30,PLST,NH,0,2,1,1029236,1018247,976026,10356,2416,20952,297,8200,10989,10398,1610,4442,2078,170,1132,180,86,32,165,48,24,49,93,227,62,542,278,32,3,39,54,6,23,64,19,3,7,2,3,1,6,0,0,2,0,0,35,20,0,3,1,1,0,8,0,1,1,0,0,0,0,0,10,9,0,0,1,0,0,4,4,1029236,22934,1006302,996814,962931,9436,2124,20822,264,1237,9488,9014,1401,4297,2026,164,426,164,74,23,69,41,21,17,91,195,5,444,240,26,2,20,50,4,20,57,14,2,4,2,0,1,2,0,0,0,0,0,22,15,0,0,1,1,0,4,0,0,1,0,0,0,0,0,7,6,0,0,1,0,0,1,1,614754,518973,95781,North_East
31,PLST,NJ,0,2,1,6726680,6585867,4732614,883471,20634,550113,2308,396727,140813,130932,21343,10845,17673,1163,41265,6944,3319,1407,8984,2181,94,3022,1580,9242,1870,9069,4551,670,62,1007,235,37,370,231,512,227,185,36,153,54,228,181,27,119,97,87,637,292,25,157,26,35,16,11,17,7,15,11,4,8,13,0,143,102,32,2,3,3,1,32,32,6726680,1094143,5632537,5557781,4149566,832756,8784,546294,1563,18818,74756,69132,13603,8281,16434,1017,5289,6163,3060,1269,2319,1999,35,180,1518,7676,289,5177,3086,474,51,183,173,24,37,206,270,32,152,29,38,48,162,90,16,36,13,57,355,216,16,38,15,22,7,10,3,1,3,8,2,6,8,0,86,71,14,0,1,0,0,6,6,3553562,3214360,339202,North_East
32,PLST,NM,0,2,1,1540507,1495948,1095620,31019,132849,22159,1354,212947,44559,42196,2741,10598,4004,463,18088,935,322,58,876,317,97,2172,319,847,359,2150,679,86,12,120,141,28,508,201,127,64,22,6,43,12,29,4,19,30,10,9,150,49,13,37,13,2,1,11,9,3,8,0,2,0,2,0,57,47,9,0,0,1,0,6,6,1540507,651326,889181,871839,697848,27453,121962,20956,987,2633,17342,16203,2068,7228,3370,356,931,789,296,42,119,251,80,198,279,187,9,1035,488,64,10,35,85,14,72,157,33,5,20,5,5,10,13,0,15,2,2,0,74,37,6,11,7,1,0,8,1,0,3,0,0,0,0,0,28,22,6,0,0,0,0,2,2,901388,791395,109993,South_West
33,PLST,NV,0,2,1,2035543,1968971,1410273,158545,23406,157227,12115,207405,66572,60968,7000,9913,13583,2148,15801,1696,1646,357,1487,428,126,880,3378,1997,528,5121,1297,264,67,229,330,74,235,1827,254,78,93,21,54,69,53,22,54,29,3,68,404,123,17,60,25,14,6,102,11,2,31,8,3,0,2,0,72,56,6,4,1,4,1,7,7,2035543,454534,1581009,1538579,1199298,152510,17857,154572,11283,3059,42430,38289,6076,8156,12609,1969,1032,1546,1539,331,382,318,94,79,3126,921,111,3825,1078,217,62,89,251,60,40,1633,86,23,83,17,29,54,22,12,29,10,0,30,273,96,14,34,19,6,3,75,2,1,14,5,2,0,2,0,40,32,4,2,0,2,0,3,3,1173814,1006250,167564,South_West
34,PLST,NY,0,2,1,15053173,14685701,10150043,2292769,76110,1129684,6606,1030489,367472,339334,55942,29444,44895,2993,88182,18425,14315,4387,33871,5513,452,9749,2820,22013,6333,25614,11463,1958,187,2910,625,94,930,661,1184,653,541,111,843,290,1271,637,68,575,405,208,2121,920,62,542,80,156,32,37,31,19,38,50,52,30,51,21,348,265,47,15,6,3,12,55,55,15053173,2444400,12608773,12413827,9098296,2095446,39142,1120061,4202,56680,194946,180069,34695,23281,42191,2536,7712,14657,13408,4007,10219,4820,169,877,2678,17478,1341,13536,6803,1456,143,568,452,54,103,589,577,80,425,77,186,251,1010,302,40,202,79,139,1116,661,31,120,45,84,7,30,5,1,18,34,27,9,38,6,210,163,33,5,4,1,4,15,15,8108103,7317755,790348,North_East
35,PLST,OH,0,2,1,8805753,8699082,7444509,1003077,19616,146512,2824,82544,106671,97432,26439,29948,15213,1276,9020,6510,1863,529,2384,453,80,506,721,2105,385,8508,5920,400,75,359,402,54,235,354,193,44,145,29,98,42,70,26,32,4,10,16,570,252,40,126,16,14,6,43,9,7,20,23,4,3,5,2,149,124,15,2,4,3,1,12,12,8805753,218924,8586829,8494723,7330425,993016,16698,145508,2389,6687,92106,84275,24939,28544,14805,1185,2146,6216,1759,491,1070,399,57,109,695,1782,78,7317,5414,353,68,177,339,46,99,334,123,15,132,26,57,35,44,15,23,3,3,11,393,205,29,67,11,5,5,26,6,0,13,17,3,2,4,0,109,93,9,2,2,2,1,12,12,5127508,4603435,524073,Mid_West
36,PLST,OK,0,2,1,2821685,2699790,2137394,198406,214138,49551,2959,97342,121895,117682,6202,85826,6450,698,7094,6929,696,168,765,535,169,920,405,599,226,3971,2249,106,42,127,436,63,384,236,81,18,58,17,68,25,12,3,21,6,2,17,184,71,18,38,9,0,1,27,9,1,4,4,1,1,0,0,45,40,3,0,0,1,1,13,13,2821685,199457,2622228,2512356,2055504,195546,207883,48930,2701,1792,109872,106464,5818,83550,6212,645,822,6701,661,153,278,487,153,204,386,358,36,3239,2038,91,35,68,396,55,141,222,42,2,50,13,36,20,8,3,13,3,0,3,131,59,11,24,6,0,1,22,3,0,1,3,1,0,0,0,31,28,1,0,0,1,1,7,7,1664378,1460450,203928,South_West
37,PLST,OR,0,2,1,2964621,2885532,2552527,49432,38255,109391,9259,126668,79089,73309,6840,30880,15530,2364,10183,1142,543,115,527,527,206,940,2125,988,399,5261,1794,242,50,168,668,155,357,1326,185,54,54,12,28,27,14,7,53,18,10,39,412,140,40,56,29,7,1,97,15,6,13,4,2,0,2,0,96,88,4,0,0,3,1,11,11,2964621,269748,2694873,2632464,2432835,46946,31862,108223,8813,3785,62409,57909,6187,28136,14793,2197,1349,1035,494,107,128,431,179,88,2007,585,193,4131,1535,203,47,64,555,132,99,1213,87,17,43,9,17,22,10,5,40,2,2,29,299,109,36,22,21,3,1,83,8,2,7,4,2,0,1,0,67,61,4,0,0,1,1,3,3,1675562,1518938,156624,West
38,PLST,PA,0,2,1,9910224,9794384,8314232,992798,19568,266482,2719,198585,115840,105911,27372,19740,17256,1472,15127,7727,2462,1064,5436,996,98,1235,851,3840,1235,9083,5623,575,91,584,293,76,232,338,283,113,188,64,176,78,133,89,17,51,45,34,676,330,30,154,34,33,6,22,17,3,15,7,7,4,11,3,151,122,14,5,7,0,3,19,19,9910224,459421,9450803,9364473,8111276,963866,13163,264676,2109,9383,86330,79068,23457,18247,16611,1363,2543,7042,2279,963,1567,863,54,100,809,3050,120,6707,4537,498,76,201,245,66,88,306,159,23,152,54,59,66,82,45,11,13,2,24,432,264,22,54,21,20,4,14,6,0,8,6,4,3,6,0,115,101,10,0,2,0,2,8,8,5567315,5018904,548411,North_East
39,PLST,PR,0,2,1,2822494,2730498,2141968,355282,14766,5225,288,212969,91996,82412,45398,1535,1001,236,19801,1894,366,95,8510,266,36,1932,26,473,843,8987,5483,214,22,2162,11,5,195,8,85,265,19,9,228,4,80,86,1,62,46,2,555,18,15,440,0,33,15,2,3,4,3,3,9,4,5,1,40,20,11,7,2,0,0,2,2,2822494,2791782,30712,29661,22299,3805,266,2470,63,758,1051,989,307,58,358,35,68,29,21,12,33,21,2,11,20,12,2,53,16,1,4,7,4,0,0,3,4,3,2,0,1,1,3,3,1,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,0,2,0,0,0,0,1636946,1376531,260415,South_East
40,PLST,RI,0,2,1,828611,809253,695283,42563,4220,23524,404,43259,19358,17666,3145,2242,2195,281,3834,1394,163,74,2804,110,19,493,90,406,416,1539,665,53,13,247,37,8,59,43,53,36,13,7,125,12,28,91,6,29,11,3,132,32,3,55,1,6,2,12,4,2,2,2,2,5,3,1,19,6,10,0,1,2,0,2,2,828611,84715,743896,730879,660823,37225,2933,23257,240,6401,13017,11809,2260,2030,2076,260,889,1286,139,68,2025,88,13,147,86,269,173,1115,520,46,12,155,26,6,24,41,27,16,13,5,97,9,21,84,5,1,4,3,84,24,2,28,1,6,1,11,1,1,1,0,2,5,1,0,9,2,6,0,0,1,0,0,0,463388,413600,49788,North_East
41,PLST,SC,0,2,1,3544890,3506755,2431038,939461,14590,45228,1963,74475,38135,35260,6598,10293,5275,559,4894,2876,1117,283,1394,228,52,332,352,804,203,2592,1450,151,26,147,174,40,91,193,57,28,56,8,41,59,25,19,9,4,4,10,216,83,19,39,11,4,4,22,5,0,3,10,1,6,9,0,60,48,3,1,3,3,2,7,7,3544890,154176,3390714,3360355,2365767,932892,12613,44696,1562,2825,30359,28068,6028,9795,5086,515,791,2737,1017,255,586,201,39,62,334,575,47,2092,1284,124,18,56,149,36,37,178,25,9,43,8,28,47,19,13,8,1,1,8,143,58,14,24,7,2,1,21,0,0,1,10,0,1,4,0,53,44,1,1,3,2,2,3,3,2137683,1801181,336502,South_East
